,time,open,high,low,close,volume,date
6315,1594036800000.0,9223.0,9320.0,9195.71,9305.02,13366.264432,2020-07-06 12:00:00
6316,1594051200000.0,9305.02,9349.0,9262.44,9289.65,8676.779797,2020-07-06 16:00:00
6317,1594065600000.0,9289.62,9375.0,9255.92,9344.2,6802.701575,2020-07-06 20:00:00
6318,1594080000000.0,9342.47,9379.42,9256.4,9295.58,6496.980185,2020-07-07 00:00:00
6319,1594094400000.0,9295.58,9307.53,9238.0,9262.01,5907.48869,2020-07-07 04:00:00
6320,1594108800000.0,9262.02,9275.33,9220.04,9270.52,5489.665101,2020-07-07 08:00:00
6321,1594123200000.0,9270.52,9290.28,9236.0,9275.66,6267.620994,2020-07-07 12:00:00
6322,1594137600000.0,9275.64,9284.07,9230.0,9238.5,5381.155375,2020-07-07 16:00:00
6323,1594152000000.0,9238.5,9270.0,9203.0,9257.39,5044.426333,2020-07-07 20:00:00
6324,1594166400000.0,9257.4,9322.59,9231.0,9311.23,7669.833153,2020-07-08 00:00:00
6325,1594180800000.0,9311.23,9320.0,9253.51,9284.15,6540.99805,2020-07-08 04:00:00
6326,1594195200000.0,9284.14,9310.0,9238.0,9309.83,7707.260454,2020-07-08 08:00:00
6327,1594209600000.0,9309.83,9470.0,9284.0,9411.72,17993.346078,2020-07-08 12:00:00
6328,1594224000000.0,9411.38,9445.0,9381.6,9430.0,7673.670494,2020-07-08 16:00:00
6329,1594238400000.0,9430.0,9468.0,9406.48,9436.06,8555.409552,2020-07-08 20:00:00
6330,1594252800000.0,9436.06,9440.79,9360.0,9385.02,7103.578844,2020-07-09 00:00:00
6331,1594267200000.0,9385.02,9419.61,9375.95,9402.32,5802.742547,2020-07-09 04:00:00
6332,1594281600000.0,9402.58,9405.0,9326.0,9401.71,7021.16784,2020-07-09 08:00:00
6333,1594296000000.0,9401.7,9432.92,9160.0,9208.58,16571.964382,2020-07-09 12:00:00
6334,1594310400000.0,9208.58,9239.53,9185.33,9218.14,7212.483295,2020-07-09 16:00:00
6335,1594324800000.0,9218.21,9253.9,9206.62,9232.43,4332.513737,2020-07-09 20:00:00
6336,1594339200000.0,9232.42,9237.55,9193.11,9222.7,4705.697937,2020-07-10 00:00:00
6337,1594353600000.0,9222.62,9227.46,9125.0,9154.99,9510.601731,2020-07-10 04:00:00
